Wavelength (nm),% Transmission
655,93.778063
656,93.847134
657,93.824735
658,93.786044
659,93.821443
660,93.83931
661,93.796671
662,93.853368
663,93.833902
664,93.792197
665,93.837634
666,93.852588
667,93.834543
668,93.885493
669,93.863274
670,93.794386
671,93.851864
672,93.843139
673,93.814418
674,93.864547
675,93.852858
676,93.801713
677,93.838324
678,93.851785
679,93.83649
680,93.859294
681,93.822447
682,93.799251
683,93.851127
684,93.847968
685,93.801862
686,93.880493
687,93.851445
688,93.788603
689,93.84664
690,93.861561
691,93.851792
692,93.848038
693,93.873683
694,93.845075
695,93.844554
696,93.851096
697,93.841401
698,93.892594
699,93.858353
700,93.813124
701,93.868286
702,93.852425
703,93.806696
704,93.864244
705,93.873089
706,93.819306
707,93.878848
708,93.851157
709,93.856176
710,93.872365
711,93.877726
712,93.805149
713,93.839492
714,93.842698
715,93.850781
716,93.892889
717,93.868088
718,93.794773
719,93.858333
720,93.826463
721,93.803842
722,93.870959
723,93.870177
724,93.816341
725,93.829217
726,93.840421
727,93.842442
728,93.862356
729,93.865731
730,93.809972
731,93.857679
732,93.85061
733,93.841365
734,93.865229
735,93.859705
736,93.810753
737,93.870582
738,93.845919
739,93.833614
740,93.890375
741,93.890384
742,93.842124
743,93.869951
744,93.875097
745,93.840886
746,93.893402
747,93.876812
748,93.839246
749,93.868223
750,93.872721
751,93.838485
752,93.889915
753,93.880923
754,93.827783
755,93.879539
756,93.871205
757,93.844153
758,93.891295
759,93.881505
760,93.846084
761,93.870872
762,93.865181
763,93.841572
764,93.894536
765,93.873787
766,93.825838
767,93.857651
768,93.830038
769,93.824893
770,93.878234
771,93.886966
772,93.836038
773,93.86978
774,93.894025
775,93.874002
776,93.901212
777,93.857244
778,93.837813
779,93.875488
780,93.864844
781,93.834687
782,93.872394
783,93.880081
784,93.867976
785,93.889079
786,93.872941
787,93.866027
788,93.871193
789,93.885511
790,93.86144
791,93.862656
792,93.847217
793,93.857979
794,93.880829
795,93.856008
796,93.85289
797,93.868199
798,93.861945
799,93.852508
800,93.875253
801,93.85598
802,93.83262
803,93.882455
804,93.871966
805,93.831726
806,93.882454
807,93.866056
808,93.842484
809,93.877097
810,93.847852
811,93.847624
812,93.867228
813,93.878303
814,93.861946
815,93.891871
816,93.857377
817,93.84356
818,93.881029
819,93.850233
820,93.854958
821,93.8896
822,93.892339
823,93.857265
824,93.847415
825,93.842667
826,93.848267
827,93.869692
828,93.855718
829,93.8467
830,93.863285
831,93.853496
832,93.838009
833,93.813547
834,93.811856
835,93.825722
836,93.818445
837,93.788326
838,93.821195
839,93.868386
840,93.843194
841,93.823034
842,93.825878
843,93.83724
844,93.843544
845,93.853981
846,93.797688
847,93.790027
848,93.854441
849,93.852417
850,93.824347
851,93.819904
852,93.777412
853,93.770562
854,93.791304
855,93.749188
856,93.777804
857,93.831991
858,93.78516
859,93.740713
860,93.951951
861,94.228797
862,94.233702
863,94.250806
864,94.261202
865,94.24557
866,94.243888
867,94.247257
868,94.244621
869,94.246967
870,94.245464
871,94.257133
872,94.25633
873,94.241472
874,94.252948
875,94.261887
876,94.267207
877,94.267603
878,94.266727
879,94.251172
880,94.23278
881,94.2497
882,94.247823
883,94.24176
884,94.247317
885,94.246988
886,94.243026
887,94.240428
888,94.233807
889,94.264914
890,94.285028
891,94.275742
892,94.270001
893,94.248716
894,94.239989
895,94.257096
896,94.278688
897,94.276044
898,94.285794
899,94.282366
900,94.258382
901,94.274059
902,94.28482
903,94.279877
904,94.266994
905,94.258657
906,94.286719
907,94.304078
908,94.291567
909,94.275463
910,94.296922
911,94.292213
912,94.289975
913,94.283406
914,94.280717
915,94.299979
916,94.299423
917,94.305563
918,94.289882
919,94.28976
920,94.302292
921,94.304711
922,94.316478
923,94.331855
924,94.288983
925,94.270685
926,94.278191
927,94.271679
928,94.287171
929,94.284095
930,94.290353
931,94.275188
932,94.262984
933,94.27641
934,94.26953
935,94.231721
936,94.185598
937,94.152315
938,94.137375
939,94.105234
940,94.05584
941,94.041958
942,94.018586
943,94.020856
944,93.996606
945,94.026015
946,94.040436
947,94.073863
948,94.104774
949,94.101754
950,94.127656
951,94.137358
952,94.165124
953,94.159678
954,94.182019
955,94.188041
956,94.206499
957,94.230715
958,94.224613
959,94.246397
960,94.257831
961,94.277334
962,94.299356
963,94.283258
964,94.279617
965,94.297712
966,94.321119
967,94.302077
968,94.303753
969,94.331281
970,94.332651
971,94.331067
972,94.348945
973,94.334208
974,94.28023
975,94.297602
976,94.305828
977,94.311925
978,94.302962
979,94.328268
980,94.343367
981,94.346341
982,94.323359
983,94.358339
984,94.355017
985,94.36461
986,94.336094
987,94.352182
988,94.37871
989,94.360115
990,94.364173
991,94.365057
992,94.378423
993,94.38942
994,94.325454
995,94.370168
996,94.37759
997,94.370641
998,94.351458
999,94.348977
1000,94.361193
1001,94.37207
1002,94.378366
1003,94.378257
1004,94.383451
1005,94.419601
1006,94.409671
1007,94.40872
1008,94.385287
1009,94.380612
1010,94.403985
1011,94.398446
1012,94.384563
1013,94.380649
1014,94.380028
1015,94.396564
1016,94.384419
1017,94.377261
1018,94.381072
1019,94.385813
1020,94.370092
1021,94.385554
1022,94.387693
1023,94.401527
1024,94.414384
1025,94.4345
1026,94.398118
1027,94.397841
1028,94.4032
1029,94.439796
1030,94.404408
1031,94.395853
1032,94.370699
1033,94.403548
1034,94.403827
1035,94.427518
1036,94.408607
1037,94.426541
1038,94.431877
1039,94.43304
1040,94.421375
1041,94.398341
1042,94.387711
1043,94.409429
1044,94.400863
1045,94.37839
1046,94.415826
1047,94.402422
1048,94.43277
1049,94.424251
1050,94.424118
1051,94.420697
1052,94.437628
1053,94.443474
1054,94.429466
1055,94.440932
1056,94.433421
1057,94.430406
1058,94.42501
1059,94.417851
1060,94.405498
1061,94.399877
1062,94.408317
1063,94.425209
1064,94.403706
1065,94.396407
1066,94.422904
1067,94.447762
1068,94.437868
1069,94.444774
1070,94.424357
1071,94.445855
1072,94.387678
1073,94.423839
1074,94.428214
1075,94.424072
1076,94.408073
1077,94.420576
1078,94.414335
1079,94.412919
1080,94.400422
1081,94.433311
1082,94.450636
1083,94.437947
1084,94.406893
1085,94.436154
1086,94.436784
1087,94.454233
1088,94.447364
1089,94.467117
1090,94.436705
1091,94.455465
1092,94.457119
1093,94.481688
1094,94.450199
1095,94.430982
1096,94.417581
1097,94.434862
1098,94.419461
1099,94.432946
1100,94.449494
1101,94.435682
1102,94.430927
1103,94.431881
1104,94.432512
1105,94.450588
1106,94.459266
1107,94.422665
1108,94.42339
1109,94.422799
1110,94.422757
1111,94.421249
1112,94.423985
1113,94.442037
1114,94.435713
1115,94.441464
1116,94.425111
1117,94.421406
1118,94.428817
1119,94.417035
1120,94.404941
1121,94.423366
1122,94.419495
1123,94.438477
1124,94.430206
1125,94.416745
1126,94.413877
1127,94.414664
1128,94.415505
1129,94.423805
1130,94.428951
1131,94.460712
1132,94.47902
1133,94.475986
1134,94.470671
1135,94.432037
1136,94.464524
1137,94.466848
1138,94.460644
1139,94.458038
1140,94.458381
1141,94.435246
1142,94.449397
1143,94.460262
1144,94.460808
1145,94.467542
1146,94.472346
1147,94.474549
1148,94.453227
1149,94.440777
1150,94.447057
1151,94.453216
1152,94.461388
1153,94.456177
1154,94.453733
1155,94.438864
1156,94.443332
1157,94.445801
1158,94.445435
1159,94.453868
1160,94.435995
1161,94.455133
1162,94.46878
1163,94.446902
1164,94.458484
1165,94.457359
1166,94.461372
1167,94.458201
1168,94.478417
1169,94.493317
1170,94.479641
1171,94.484118
1172,94.473898
1173,94.459566
1174,94.465063
1175,94.464045
1176,94.464089
1177,94.462054
1178,94.466989
1179,94.463215
1180,94.457022
1181,94.473748
1182,94.469869
1183,94.439481
1184,94.454036
1185,94.459679
1186,94.463113
1187,94.472085
1188,94.493107
1189,94.497103
1190,94.473448
1191,94.473396
1192,94.464418
1193,94.439751
1194,94.42785
1195,94.445709
1196,94.471569
1197,94.473473
1198,94.460361
1199,94.450468
1200,94.456388
1201,94.479238
1202,94.479218
1203,94.467002
1204,94.468119
1205,94.457567
1206,94.461317
1207,94.456633
1208,94.458773
1209,94.451299
1210,94.452401
1211,94.454857
1212,94.443998
1213,94.451236
1214,94.449581
1215,94.453215
1216,94.456455
1217,94.428889
1218,94.424126
1219,94.450547
1220,94.455192
1221,94.437425
1222,94.426777
1223,94.423008
1224,94.421971
1225,94.419132
1226,94.411342
1227,94.403553
1228,94.409813
1229,94.381205
1230,94.363435
1231,94.337566
1232,94.312841
1233,94.278054
1234,94.246446
1235,94.208465
1236,94.163974
1237,94.105822
1238,94.074271
1239,94.058112
1240,94.012204
1241,93.963033
1242,93.967931
1243,93.963249
1244,93.961797
1245,93.955164
1246,93.943511
1247,93.930826
1248,93.929254
1249,93.937226
1250,93.962209
1251,93.982796
1252,93.987684
1253,94.014753
1254,94.048056
1255,94.085472
1256,94.10361
1257,94.124966
1258,94.141253
1259,94.180995
1260,94.230771
1261,94.218102
1262,94.222534
1263,94.249038
1264,94.274481
1265,94.285141
1266,94.276543
1267,94.287768
1268,94.308243
1269,94.326352
1270,94.326046
1271,94.315484
1272,94.320413
1273,94.337441
1274,94.343981
1275,94.332234
1276,94.348808
1277,94.369143
1278,94.377774
1279,94.382977
1280,94.375307
1281,94.369485
1282,94.371796
1283,94.37699
1284,94.372956
1285,94.379624
1286,94.395034
1287,94.394065
1288,94.389679
1289,94.397462
1290,94.409109
1291,94.414504
1292,94.40579
1293,94.407974
1294,94.407807
1295,94.409765
1296,94.410092
1297,94.413497
1298,94.421936
1299,94.405176
1300,94.411289
1301,94.413695
1302,94.396485
1303,94.376531
1304,94.37824
1305,94.380114
1306,94.369993
1307,94.377871
1308,94.378308
1309,94.364049
1310,94.352723
1311,94.38969
1312,94.392109
1313,94.375366
1314,94.367736
1315,94.365
1316,94.354157
1317,94.336782
1318,94.324551
1319,94.311369
1320,94.310625
1321,94.312952
1322,94.289718
1323,94.270407
1324,94.252883
1325,94.253519
1326,94.254269
1327,94.226892
1328,94.189561
1329,94.163634
1330,94.149601
1331,94.133447
1332,94.103174
1333,94.069243
1334,94.044133
1335,94.022731
1336,93.995492
1337,93.954369
1338,93.936863
1339,93.901199
1340,93.865262
1341,93.84278
1342,93.830188
1343,93.815452
1344,93.77386
1345,93.775007
1346,93.714072
1347,93.667628
1348,93.618631
1349,93.576614
1350,93.538125
1351,93.537603
1352,93.533324
1353,93.53824
1354,93.495685
1355,93.496198
1356,93.456022
1357,93.38727
1358,93.344633
1359,93.295148
1360,93.32734
1361,93.242529
1362,93.158316
1363,93.091149
1364,92.99358
1365,92.856845
1366,92.725718
1367,92.535789
1368,92.305757
1369,91.937771
1370,91.523429
1371,90.955627
1372,90.242601
1373,89.4135
1374,88.462506
1375,87.534952
1376,86.490241
1377,85.552133
1378,84.692064
1379,83.897856
1380,83.403248
1381,83.16447
1382,82.880077
1383,82.762841
1384,82.794003
1385,82.954063
1386,83.239333
1387,83.618058
1388,84.006722
1389,84.389625
1390,84.818829
1391,85.260818
1392,85.7811
1393,86.224191
1394,86.711521
1395,87.255866
1396,87.53799
1397,87.995567
1398,88.336253
1399,88.723665
1400,89.217166
1401,89.399763
1402,89.736408
1403,89.9681
1404,90.282576
1405,90.548548
1406,90.752599
1407,90.961155
1408,91.181275
1409,91.364311
1410,91.512073
1411,91.693222
1412,91.842908
1413,91.989359
1414,92.129032
1415,92.241427
1416,92.327832
1417,92.442435
1418,92.562382
1419,92.638217
1420,92.705069
1421,92.807687
1422,92.893153
1423,92.977051
1424,93.052462
1425,93.111325
1426,93.189701
1427,93.234508
1428,93.287555
1429,93.340746
1430,93.385708
1431,93.451106
1432,93.516295
1433,93.569168
1434,93.625002
1435,93.674136
1436,93.705492
1437,93.727948
1438,93.7577
1439,93.793281
1440,93.820789
1441,93.891088
1442,93.907715
1443,93.908735
1444,93.951232
1445,93.985141
1446,93.999409
1447,94.027951
1448,94.062304
1449,94.05958
1450,94.067974
1451,94.094396
1452,94.094138
1453,94.1357
1454,94.1539
1455,94.17042
1456,94.207634
1457,94.227751
1458,94.210825
1459,94.226212
1460,94.247775
1461,94.253474
1462,94.298809
1463,94.268722
1464,94.293751
1465,94.31074
1466,94.316772
1467,94.33732
1468,94.327044
1469,94.35072
1470,94.367068
1471,94.391543
1472,94.377386
1473,94.385578
1474,94.39907
1475,94.382782
1476,94.395961
1477,94.435512
1478,94.412615
1479,94.417345
1480,94.431848
1481,94.441835
1482,94.429438
1483,94.442328
1484,94.438188
1485,94.44416
1486,94.446996
1487,94.454644
1488,94.468296
1489,94.474905
1490,94.456413
1491,94.457606
1492,94.450706
1493,94.464075
1494,94.47536
1495,94.480542
1496,94.518294
1497,94.501217
1498,94.504977
1499,94.497788
1500,94.482867
1501,94.502558
1502,94.490386
1503,94.54046
1504,94.53853
1505,94.504798
1506,94.508341
1507,94.517254
1508,94.509975
1509,94.524805
1510,94.521962
1511,94.518336
1512,94.512984
1513,94.520855
1514,94.51793
1515,94.502998
1516,94.523411
1517,94.524599
1518,94.543166
1519,94.520508
1520,94.574532
1521,94.545523
1522,94.526926
1523,94.520691
1524,94.512053
1525,94.535213
1526,94.56584
1527,94.554127
1528,94.536635
1529,94.559987
1530,94.542991
1531,94.571572
1532,94.547819
1533,94.524166
1534,94.509678
1535,94.506733
1536,94.525494
1537,94.52153
1538,94.541239
1539,94.541797
1540,94.545382
1541,94.544321
1542,94.548644
1543,94.540347
1544,94.529825
1545,94.537922
1546,94.551017
1547,94.549447
1548,94.567662
1549,94.54401
1550,94.557677
1551,94.556219
1552,94.569938
1553,94.528725
1554,94.517805
1555,94.549799
1556,94.546569
1557,94.555256
1558,94.564662
1559,94.554843
1560,94.550989
1561,94.548319
1562,94.531849
1563,94.540048
1564,94.544657
1565,94.558204
1566,94.578008
1567,94.538662
1568,94.547455
1569,94.549917
1570,94.556702
1571,94.547204
1572,94.535079
1573,94.52692
1574,94.554722
1575,94.578935
1576,94.554943
1577,94.542363
1578,94.544361
1579,94.544811
1580,94.550343
1581,94.552233
1582,94.526494
1583,94.533663
1584,94.539659
1585,94.53392
1586,94.537366
1587,94.540511
1588,94.544614
1589,94.557844
1590,94.554416
1591,94.546398
1592,94.548903
1593,94.554252
1594,94.570269
1595,94.563837
1596,94.556958
1597,94.559534
1598,94.569284
1599,94.581506
1600,94.580839
1601,94.564708
1602,94.550974
1603,94.534283
1604,94.517807
1605,94.537262
1606,94.533489
1607,94.535104
1608,94.537483
1609,94.54036
