# SO2 Absorption Cross section
# Source: Rufus et al. 2009 (JGR)
# Temp: 298K
# Wavelength (nm), Cross-section
3.259625161503751656e+02 -9.358600000000000235e-21
3.259619848934312927e+02 -5.993800000000000181e-21
3.259614642633064818e+02 -8.587600000000000338e-21
3.259609330097914039e+02 -1.337700000000000028e-20
3.259604123830266644e+02 -3.580800000000000182e-21
3.259598811329402679e+02 -2.947299999999999961e-21
3.259593498845855493e+02 -1.090809999999999937e-20
3.259588292628779982e+02 -7.868899999999999615e-21
3.259582980179519609e+02 -5.825600000000000068e-21
3.259577773996044812e+02 -7.603199999999999726e-21
3.259572461581070115e+02 -2.745499999999999978e-21
3.259567149183412198e+02 -1.284700000000000059e-21
3.259561943050507580e+02 -6.848400000000000102e-21
3.259556630687135339e+02 -1.449499999999999957e-21
3.259551424587830297e+02 7.153000000000000385e-22
3.259546112258743165e+02 -8.543799999999999823e-21
3.259540906193037699e+02 -4.114499999999999730e-21
3.259535593898236243e+02 4.655900000000000141e-21
3.259530281620750429e+02 4.094400000000000339e-21
3.259525075605612869e+02 -1.271199999999999957e-21
3.259519763362411595e+02 4.307999999999999939e-22
3.259514557380873612e+02 6.120599999999999931e-21
3.259509245171956309e+02 -2.307500000000000093e-21
3.259503932980354080e+02 -9.040000000000000383e-21
3.259498727049382865e+02 -4.087700000000000291e-21
3.259493414892064607e+02 -4.789300000000000308e-21
3.259488208994691831e+02 -1.412369999999999976e-20
3.259482896871656976e+02 -1.674900000000000003e-20
3.259477584765936626e+02 -1.128679999999999964e-20
3.259472378919129483e+02 -1.438420000000000083e-20
3.259467066847692536e+02 -9.905199999999999470e-21
3.259461861034482695e+02 -6.784400000000000566e-21
3.259456548997327445e+02 -1.723629999999999890e-20
3.259451236977487270e+02 -6.709499999999999963e-21
3.259446031214842492e+02 6.738999999999999949e-21
3.259440719229284582e+02 -2.132099999999999900e-21
3.259435513500235402e+02 -7.554899999999999302e-21
3.259430201548959189e+02 -6.606999999999999682e-22
