calc_flux.py output file 
Peak number,1
Flux (Tonnes/day),228
Windspeed (m/s),10.0
Volcano Long/Lat,55.703736,-21.272972
CoM position,55.655315,-21.23115
Julian Time (GMT),SO2 Amount,Error,Longitude,Latitude,Bearing,Distance,Correction Factor,Cumulative Distance
0.39806712962962965,32.386694176999995,10.4264298838,55.670833333,-21.233626667,4.73282713917,14.6879026005,-0.583592648963,-850.182825765
0.3981134259259259,33.1402241582,10.202329776200001,55.670661667,-21.233606667,4.81326887885,17.9309503593,-0.5164534777,-859.443327436
0.39814814814814814,33.8800898029,10.7207279089,55.670566667,-21.233588333,4.87851898932,10.0552094049,-0.459519422935,-864.06389146
0.39818287037037037,38.0180265538,10.1730310834,55.670466667,-21.233565,4.91240298457,10.684410014,-0.429166742859,-868.649284905
0.3982175925925926,38.902232131,10.2808059055,55.670341667,-21.233546667,4.83913236986,13.1151607954,-0.494135921563,-875.129956971
0.3982523148148148,26.8887266789,10.224968559,55.670211667,-21.23355,4.69011713236,13.4790908934,-0.617732422024,-883.456428435
0.39828703703703705,31.720246481799997,10.0249136097,55.670078333,-21.23357,4.58279515226,13.9973456232,-0.698413147632,-893.23235865
0.3983217592592593,33.257813427600006,10.5245425064,55.669936667,-21.233593333,4.57025352749,14.9105905404,-0.707333961401,-903.779125724
0.3983564814814815,54.024122756400004,10.2980378917,55.669791667,-21.233613333,4.59311887327,15.1923328175,-0.6909874274,-914.276836694
0.3983912037037037,66.7126948401,10.302650870599999,55.669643333,-21.233626667,4.63444640651,15.4455634139,-0.660531622832,-924.479119761
0.3984259259259259,65.46395867449999,10.6648956438,55.6695,-21.233613333,4.79303944408,14.9297060467,-0.533669399161,-932.446647017
0.39846064814814813,55.7793526517,10.6813220724,55.669378333,-21.233563333,5.05533345517,13.7815331688,-0.296131149493,-936.527788276
0.39849537037037036,52.305756027799994,10.2441765611,55.669281667,-21.233515,5.12220819051,11.3694981808,-0.231641590922,-939.161436922
0.3985300925925926,43.41884148850001,9.83431612731,55.669218333,-21.233483333,5.12220840956,7.44911291874,-0.231641377832,-940.886959702
0.3985648148148148,31.8179098671,10.667617765900001,55.669161667,-21.233453333,5.14350796227,6.7544446159,-0.210870170493,-942.31127059
0.39861111111111114,35.7780599491,10.2626752161,55.669075,-21.23341,5.12220451282,10.1934321916,-0.231645168588,-944.672529909
0.3986458333333333,42.4824365041,10.779898637999999,55.669,-21.233373333,5.11406252299,8.7778254155,-0.23955793354,-946.775327626
0.39868055555555554,40.0359763421,9.89159499233,55.668893333,-21.233321667,5.11072665042,12.4592158522,-0.242795333496,-949.800367094
0.39871527777777777,40.338061924099996,10.3192777532,55.668776667,-21.233261667,5.13260544835,13.8104291307,-0.221514787804,-952.859581372
0.39875,35.351144712199996,10.3371857175,55.668668333,-21.2332,5.17168147534,13.1566221362,-0.183250124792,-955.270534021
0.3987847222222222,44.840360318,9.919148506989998,55.668563333,-21.233156667,5.05667346041,11.901845109,-0.294850981632,-958.779804734
0.39881944444444445,34.9532306199,10.340836701,55.668438333,-21.233126667,4.91796417649,13.3783644248,-0.424137123251,-964.454065735
0.3988541666666667,40.4144244093,10.244851068400001,55.6683,-21.233076667,5.01667484165,15.3779398192,-0.332825368072,-969.572234216
0.3988888888888889,45.246369717600004,9.76224990709,55.668175,-21.233025,5.0571672094,14.1724814346,-0.294379147195,-973.744317214
0.39892361111111113,60.370762627299996,9.995464233060002,55.668091667,-21.232963333,5.28378994289,11.0281464723,-0.0721204135479,-974.539671698
0.39895833333333336,59.4597136155,10.0309886132,55.66803,-21.232921667,5.24322547386,7.89413163867,-0.112508827126,-975.42783119
