#Wavelength	Cross-Sec
329.8012	2.26E-21
329.9124	2.05E-21
330.0236	1.98E-21
330.1348	2.07E-21
330.2459	2.08E-21
330.357	2.05E-21
330.4681	2.14E-21
330.5792	2.37E-21
330.6902	2.52E-21
330.8013	2.33E-21
330.9123	2.01E-21
331.0232	1.72E-21
331.1342	1.52E-21
331.2451	1.54E-21
331.3561	1.54E-21
331.467	1.40E-21
331.5778	1.33E-21
331.6887	1.24E-21
331.7995	1.26E-21
331.9103	1.20E-21
332.0211	1.18E-21
332.1319	1.19E-21
332.2426	1.19E-21
332.3533	1.28E-21
332.464	1.37E-21
332.5747	1.33E-21
332.6853	1.38E-21
332.796	1.47E-21
332.9066	1.28E-21
333.0172	1.10E-21
333.1277	9.96E-22
333.2383	9.95E-22
333.3488	9.63E-22
333.4593	9.18E-22
333.5698	8.60E-22
333.6802	8.09E-22
333.7907	8.47E-22
333.9011	9.17E-22
334.0115	1.00E-21
334.1219	9.96E-22
334.2322	8.80E-22
334.3425	7.68E-22
334.4529	7.24E-22
334.5631	6.36E-22
334.6734	6.35E-22
334.7836	6.27E-22
334.8939	5.57E-22
335.0041	5.94E-22
335.1143	5.93E-22
335.2244	5.88E-22
335.3346	5.46E-22
335.4447	4.64E-22
335.5548	4.13E-22
335.6648	4.17E-22
335.7749	4.84E-22
335.8849	5.60E-22
335.9949	5.68E-22
336.1049	5.20E-22
336.2149	4.35E-22
336.3249	4.40E-22
336.4348	4.67E-22
336.5447	4.84E-22
336.6546	4.61E-22
336.7645	4.16E-22
336.8743	4.14E-22
336.9841	3.50E-22
337.094	3.38E-22
337.2037	3.63E-22
337.3135	3.23E-22
337.4233	3.09E-22
337.533	3.48E-22
337.6427	3.54E-22
337.7524	3.35E-22
337.862	3.01E-22
337.9717	2.68E-22
338.0813	1.84E-22
338.1909	2.08E-22
338.3005	2.24E-22
338.4101	2.37E-22
338.5196	2.18E-22
338.6292	2.40E-22
338.7387	2.33E-22
338.8482	2.07E-22
338.9576	1.89E-22
339.0671	1.66E-22
339.1765	1.75E-22
339.2859	1.67E-22
339.3953	2.34E-22
339.5047	2.34E-22
339.614	2.47E-22
339.7234	1.88E-22
339.8327	1.86E-22
339.942	1.95E-22
340.0512	1.90E-22
340.1605	1.99E-22
340.2697	1.55E-22
340.379	1.95E-22
340.4882	1.71E-22
340.5973	1.18E-22
340.7065	8.62E-23
340.8156	1.08E-22
340.9248	8.91E-23
341.0339	1.90E-23
341.143	1.91E-23
341.252	3.82E-23
341.3611	2.23E-23
341.4701	5.48E-23
341.5791	1.23E-22
341.6881	7.54E-23
341.7971	8.73E-23
341.9061	1.36E-22
342.015	1.23E-22
342.1239	1.14E-22
342.2328	1.06E-22
342.3417	1.30E-22
342.4506	1.44E-22
342.5594	7.39E-23
342.6683	4.38E-23
342.7771	-1.77E-24
342.8859	3.41E-23
342.9947	4.01E-23
343.1034	6.24E-23
343.2122	8.11E-23
343.3209	1.92E-23
343.4296	3.61E-23
343.5383	7.42E-23
343.647	6.93E-23
343.7556	7.36E-23
343.8643	8.36E-23
343.9729	1.06E-22
344.0815	1.26E-22
344.1901	7.58E-23
344.2987	1.17E-22
344.4072	8.29E-23
344.5158	4.20E-23
344.6243	4.16E-23
344.7328	7.17E-23
344.8413	3.99E-23
344.9498	5.61E-23
345.0582	5.30E-24
345.1666	3.77E-23
345.2751	1.58E-23
345.3835	-4.06E-24
345.4919	-1.37E-24
345.6002	4.96E-23
345.7086	5.38E-23
345.8169	4.83E-24
345.9253	3.21E-23
346.0336	7.21E-23
346.1419	2.27E-23
346.2501	3.29E-23
346.3584	-1.90E-23
346.4666	2.03E-23
346.5749	5.65E-23
346.6831	7.12E-23
346.7913	6.27E-23
346.8995	8.26E-23
347.0076	7.63E-23
347.1158	1.30E-22
347.2239	7.91E-23
347.332	5.76E-23
347.4401	1.13E-22
347.5482	4.52E-23
347.6563	2.54E-23
347.7644	5.47E-23
347.8724	3.54E-23
347.9805	-2.81E-23
348.0885	2.59E-23
348.1965	-1.71E-23
348.3045	6.93E-24
348.4124	5.36E-23
348.5204	8.56E-23
348.6283	8.18E-24
348.7363	4.54E-23
348.8442	4.73E-23
348.9521	3.99E-23
349.0599	5.35E-23
349.1678	1.14E-22
349.2757	7.18E-23
349.3835	1.15E-22
349.4913	9.49E-23
349.5992	1.04E-22
349.707	7.39E-23
349.8147	1.94E-23
349.9225	-6.58E-24
350.0303	3.75E-23
350.138	7.92E-23
350.2458	1.36E-22
350.3535	6.06E-23
350.4612	5.15E-23
350.5689	4.36E-23
350.6765	9.37E-23
350.7842	8.05E-23
350.8919	5.14E-23
350.9995	7.96E-23
351.1071	6.71E-23
351.2147	6.80E-23
351.3223	4.86E-23
351.4299	4.46E-23
351.5375	3.88E-23
351.6451	1.46E-23
351.7526	1.46E-23
351.8601	3.47E-23
351.9677	5.12E-23
352.0752	2.18E-23
352.1827	3.21E-23
352.2901	6.43E-23
352.3976	1.40E-23
352.5051	7.71E-23
352.6125	1.17E-22
352.72	1.01E-22
352.8274	1.11E-22
352.9348	1.66E-22
353.0422	1.91E-22
353.1496	2.36E-22
353.257	2.63E-22
353.3643	2.60E-22
353.4717	2.54E-22
353.579	2.16E-22
353.6864	1.34E-22
353.7937	1.27E-22
353.901	9.99E-23
354.0083	7.10E-23
354.1156	6.01E-23
354.2228	4.83E-23
354.3301	3.34E-23
354.4374	4.39E-23
354.5446	2.38E-23
354.6518	1.19E-23
354.7591	1.53E-24
354.8663	-4.43E-23
354.9735	4.48E-23
355.0806	-1.39E-23
355.1878	-1.04E-23
355.295	1.54E-23
355.4021	1.86E-23
355.5093	9.46E-24
355.6164	-5.51E-24
355.7236	5.90E-24
355.8307	4.87E-23
355.9378	3.40E-23
356.0449	1.74E-23
356.152	2.60E-23
356.259	2.78E-23
356.3661	6.01E-24
356.4731	-3.37E-23
356.5802	1.38E-23
356.6872	1.93E-23
356.7943	3.55E-23
356.9013	3.76E-23
357.0083	2.60E-23
357.1153	5.46E-23
357.2223	6.90E-23
357.3292	8.69E-23
357.4362	1.14E-22
357.5432	1.08E-22
357.6501	1.43E-22
357.7571	1.77E-22
357.864	1.85E-22
357.9709	2.85E-22
358.0778	2.59E-22
358.1848	2.15E-22
358.2917	1.88E-22
358.3985	1.66E-22
358.5054	1.67E-22
358.6123	1.58E-22
358.7192	1.26E-22
358.826	1.52E-22
358.9329	1.86E-22
359.0397	1.76E-22
359.1465	2.20E-22
359.2534	2.13E-22
359.3602	2.30E-22
359.467	2.78E-22
359.5738	2.36E-22
359.6806	2.22E-22
359.7874	1.77E-22
359.8942	2.01E-22
360.0009	1.33E-22
360.1077	1.07E-22
360.2144	8.49E-23
360.3212	5.86E-23
360.4279	4.69E-23
360.5347	7.75E-23
360.6414	1.30E-22
360.7481	9.35E-23
360.8548	4.22E-23
360.9615	6.19E-23
361.0682	1.10E-23
361.1749	3.08E-23
361.2816	6.42E-23
361.3883	3.93E-23
361.495	4.28E-23
361.6016	8.90E-23
361.7083	7.90E-23
361.8149	6.56E-23
361.9216	4.04E-23
362.0282	6.07E-23
362.1348	1.23E-22
362.2415	1.06E-22
362.3481	1.21E-22
362.4547	1.28E-22
362.5613	1.36E-22
362.6679	1.23E-22
362.7745	1.85E-22
362.8811	1.95E-22
362.9877	2.35E-22
363.0943	2.58E-22
363.2008	2.54E-22
363.3074	3.51E-22
363.414	3.16E-22
363.5205	2.64E-22
363.6271	3.18E-22
363.7336	2.80E-22
363.8402	2.03E-22
363.9467	1.79E-22
364.0532	1.71E-22
364.1597	1.20E-22
364.2663	8.31E-23
364.3728	9.16E-23
364.4793	7.65E-23
364.5858	7.63E-23
364.6923	9.55E-23
364.7988	8.34E-23
364.9053	8.39E-23
365.0118	8.88E-23
365.1183	1.51E-22
365.2247	1.89E-22
365.3312	2.18E-22
365.4377	1.95E-22
365.5441	1.82E-22
365.6506	1.89E-22
365.7571	2.50E-22
365.8635	2.38E-22
365.97	1.62E-22
366.0764	1.80E-22
366.1828	1.76E-22
366.2893	1.47E-22
366.3957	8.41E-23
366.5021	1.11E-22
366.6086	8.71E-23
366.715	4.57E-23
366.8214	8.44E-23
366.9278	1.13E-22
367.0342	1.07E-22
367.1406	5.04E-23
367.247	4.99E-23
367.3534	5.62E-23
367.4598	7.97E-23
367.5662	5.49E-23
367.6726	6.37E-23
367.779	6.99E-23
367.8854	9.00E-23
367.9918	7.16E-23
368.0982	9.89E-23
368.2045	9.91E-23
368.3109	1.02E-22
368.4173	6.37E-23
368.5236	9.91E-23
368.63	1.13E-22
368.7364	1.03E-22
368.8427	1.30E-22
368.9491	1.51E-22
369.0554	2.02E-22
369.1618	1.60E-22
369.2681	1.22E-22
369.3745	1.74E-22
369.4808	2.11E-22
369.5872	2.39E-22
369.6935	2.70E-22
369.7999	3.11E-22
369.9062	3.42E-22
370.0125	3.96E-22
370.1189	5.36E-22
370.2252	6.24E-22
370.3315	5.56E-22
370.4379	4.52E-22
370.5442	4.39E-22
370.6505	3.46E-22
370.7569	2.71E-22
370.8632	1.91E-22
370.9695	1.58E-22
371.0758	1.29E-22
371.1821	1.58E-22
371.2885	1.67E-22
371.3948	1.63E-22
371.5011	2.21E-22
371.6074	1.13E-22
371.7137	6.86E-23
371.82	9.75E-23
371.9263	1.07E-22
372.0326	1.03E-22
372.139	9.27E-23
372.2453	7.98E-23
372.3516	1.14E-22
372.4579	1.26E-22
372.5642	1.40E-22
372.6705	9.16E-23
372.7768	1.29E-22
372.8831	1.09E-22
372.9894	1.36E-22
373.0957	1.41E-22
373.202	1.24E-22
373.3083	1.33E-22
373.4146	1.35E-22
373.5209	1.12E-22
373.6272	9.72E-23
373.7335	1.45E-22
373.8398	1.63E-22
373.9461	9.77E-23
374.0524	1.24E-22
374.1587	1.49E-22
374.265	1.92E-22
374.3713	1.95E-22
374.4776	2.09E-22
374.5839	2.54E-22
374.6902	2.66E-22
374.7965	3.02E-22
374.9028	3.64E-22
375.0091	3.66E-22
375.1154	3.91E-22
375.2217	4.28E-22
375.328	3.84E-22
375.4343	3.12E-22
375.5406	2.46E-22
375.6469	2.22E-22
375.7532	1.36E-22
375.8595	1.87E-22
375.9659	1.59E-22
376.0722	1.17E-22
376.1785	1.67E-22
376.2848	1.84E-22
376.3911	1.05E-22
376.4974	1.24E-22
376.6037	1.59E-22
376.71	1.57E-22
376.8163	1.14E-22
376.9226	1.80E-22
377.029	1.63E-22
377.1353	1.86E-22
377.2416	1.59E-22
377.3479	2.13E-22
377.4542	2.03E-22
377.5605	2.36E-22
377.6669	2.24E-22
377.7732	2.54E-22
377.8795	2.31E-22
377.9858	2.18E-22
378.0922	1.63E-22
378.1985	1.58E-22
378.3048	1.32E-22
378.4112	1.65E-22
378.5175	1.32E-22
378.6238	1.41E-22
378.7302	1.38E-22
378.8365	1.32E-22
378.9428	1.61E-22
379.0492	1.41E-22
379.1555	1.08E-22
379.2619	9.47E-23
379.3682	7.47E-23
379.4746	1.16E-22
379.5809	1.25E-22
379.6872	1.63E-22
379.7936	1.53E-22
379.9	1.09E-22
380.0063	1.35E-22
380.1127	1.25E-22
380.219	1.55E-22
380.3254	1.11E-22
380.4318	1.73E-22
380.5381	1.25E-22
380.6445	1.35E-22
380.7509	1.64E-22
380.8572	1.29E-22
380.9636	1.67E-22
381.07	1.37E-22
381.1764	1.38E-22
381.2827	1.17E-22
381.3891	1.41E-22
381.4955	1.47E-22
381.6019	1.95E-22
381.7083	1.54E-22
381.8147	1.58E-22
381.9211	1.99E-22
382.0275	1.69E-22
382.1339	2.21E-22
382.2403	2.58E-22
382.3467	2.81E-22
382.4531	2.99E-22
382.5595	3.43E-22
382.6659	3.77E-22
382.7723	3.44E-22
382.8787	4.22E-22
382.9851	4.51E-22
383.0916	4.65E-22
383.198	3.68E-22
383.3044	2.63E-22
383.4108	2.45E-22
383.5173	2.29E-22
383.6237	2.06E-22
383.7301	1.70E-22
383.8366	1.58E-22
383.943	1.54E-22
384.0495	1.27E-22
384.1559	1.59E-22
384.2623	1.28E-22
384.3688	1.42E-22
384.4753	1.35E-22
384.5817	1.19E-22
384.6882	9.13E-23
384.7946	1.80E-22
384.9011	1.61E-22
385.0076	1.43E-22
385.114	1.50E-22
385.2205	1.44E-22
385.327	1.66E-22
385.4334	2.21E-22
385.5399	1.52E-22
385.6464	1.21E-22
385.7529	1.13E-22
385.8594	1.79E-22
385.9659	2.12E-22
386.0724	1.66E-22
386.1789	1.02E-22
386.2854	1.54E-22
386.3919	1.28E-22
386.4984	1.97E-22
386.6049	1.65E-22
386.7114	1.63E-22
386.8179	1.35E-22
386.9244	1.67E-22
387.0309	1.67E-22
387.1374	1.82E-22
387.244	1.80E-22
387.3505	2.11E-22
387.457	2.12E-22
387.5636	2.23E-22
387.6701	2.28E-22
387.7766	2.69E-22
387.8832	2.34E-22
387.9897	3.19E-22
388.0963	3.33E-22
388.2028	3.50E-22
388.3093	3.82E-22
388.4159	3.71E-22
388.5225	3.14E-22
388.629	2.89E-22
388.7356	2.56E-22
388.8421	2.70E-22
388.9487	2.81E-22
389.0553	2.84E-22
389.1618	2.08E-22
389.2684	2.00E-22
389.375	1.70E-22
389.4816	1.26E-22
389.5882	1.27E-22
389.6947	1.16E-22
389.8013	1.49E-22
389.9079	1.58E-22
390.0145	1.32E-22
390.1211	1.39E-22
390.2277	1.60E-22
390.3343	1.00E-22
390.4409	1.87E-22
390.5475	1.77E-22
390.6541	1.51E-22
390.7607	1.35E-22
390.8673	1.61E-22
390.9739	1.24E-22
391.0805	1.84E-22
391.1872	1.60E-22
391.2938	1.27E-22
391.4004	2.05E-22
391.507	1.14E-22
391.6136	1.44E-22
391.7203	1.51E-22
391.8269	1.61E-22
391.9335	1.42E-22
392.0402	1.87E-22
392.1468	2.21E-22
392.2534	2.15E-22
392.3601	2.30E-22
392.4667	1.71E-22
392.5734	1.88E-22
392.68	2.50E-22
392.7867	2.74E-22
392.8933	2.68E-22
393	2.06E-22
393.1066	2.51E-22
393.2133	1.88E-22
393.3199	2.07E-22
393.4266	2.07E-22
393.5333	1.89E-22
393.6399	2.20E-22
393.7466	1.48E-22
393.8532	1.87E-22
393.9599	2.18E-22
394.0666	1.89E-22
394.1732	2.31E-22
394.2799	1.92E-22
394.3866	2.24E-22
394.4933	2.23E-22
394.5999	1.97E-22
394.7066	2.94E-22
394.8133	2.39E-22
394.92	1.55E-22
395.0267	2.36E-22
