#Wavelength (nm)	Absorption cross-section (cm2/molecule)
262.03	3.78E-19
262.04	3.77E-19
262.05	3.76E-19
262.06	3.61E-19
262.07	3.75E-19
262.07	3.70E-19
262.08	3.68E-19
262.09	3.79E-19
262.10	3.64E-19
262.11	3.44E-19
262.12	3.44E-19
262.12	3.59E-19
262.13	3.49E-19
262.14	3.52E-19
262.15	3.60E-19
262.16	3.41E-19
262.16	3.41E-19
262.17	3.52E-19
262.18	3.54E-19
262.19	3.57E-19
262.20	3.68E-19
262.21	3.63E-19
262.21	3.47E-19
262.22	3.49E-19
262.23	3.53E-19
262.24	3.50E-19
262.25	3.52E-19
262.25	3.46E-19
262.26	3.39E-19
262.27	3.54E-19
262.28	3.51E-19
262.29	3.62E-19
262.30	3.57E-19
262.30	3.51E-19
262.31	3.49E-19
262.32	3.44E-19
262.33	3.36E-19
262.34	3.47E-19
262.35	3.47E-19
262.35	3.43E-19
262.36	3.38E-19
262.37	3.39E-19
262.38	3.31E-19
262.39	3.37E-19
262.39	3.34E-19
262.40	3.11E-19
262.41	3.29E-19
262.42	3.22E-19
262.43	3.23E-19
262.44	3.12E-19
262.44	3.16E-19
262.45	3.23E-19
262.46	3.17E-19
262.47	3.07E-19
262.48	3.24E-19
262.48	3.12E-19
262.49	3.14E-19
262.50	3.15E-19
262.51	3.11E-19
262.52	2.95E-19
262.53	3.03E-19
262.53	3.03E-19
262.54	3.03E-19
262.55	2.98E-19
262.56	3.09E-19
262.57	3.01E-19
262.57	3.24E-19
262.58	3.16E-19
262.59	3.16E-19
262.60	3.11E-19
262.61	3.19E-19
262.62	3.17E-19
262.62	3.26E-19
262.63	3.21E-19
262.64	3.10E-19
262.65	3.21E-19
262.66	3.11E-19
262.67	3.08E-19
262.67	3.19E-19
262.68	3.24E-19
262.69	3.19E-19
262.70	3.30E-19
262.71	3.30E-19
262.71	3.25E-19
262.72	3.23E-19
262.73	3.18E-19
262.74	3.41E-19
262.75	3.29E-19
262.76	3.25E-19
262.76	3.38E-19
262.77	3.25E-19
262.78	3.38E-19
262.79	3.45E-19
262.80	3.39E-19
262.80	3.44E-19
262.81	3.36E-19
262.82	3.38E-19
262.83	3.41E-19
262.84	3.45E-19
262.85	3.37E-19
262.85	3.30E-19
262.86	3.25E-19
262.87	3.35E-19
262.88	3.20E-19
262.89	3.13E-19
262.90	3.20E-19
262.90	3.09E-19
262.91	3.04E-19
262.92	2.95E-19
262.93	3.10E-19
262.94	3.13E-19
262.94	3.13E-19
262.95	3.11E-19
262.96	2.97E-19
262.97	3.06E-19
262.98	3.12E-19
262.99	3.12E-19
262.99	3.14E-19
263.00	3.20E-19
263.01	3.03E-19
263.02	3.20E-19
263.03	3.09E-19
263.03	3.15E-19
263.04	3.16E-19
263.05	3.19E-19
263.06	3.14E-19
263.07	3.19E-19
263.08	3.31E-19
263.08	3.29E-19
263.09	3.28E-19
263.10	3.29E-19
263.11	3.37E-19
263.12	3.21E-19
263.12	3.21E-19
263.13	3.22E-19
263.14	3.31E-19
263.15	3.30E-19
263.16	3.32E-19
263.17	3.38E-19
263.17	3.40E-19
263.18	3.15E-19
263.19	3.25E-19
263.20	3.26E-19
263.21	3.30E-19
263.22	3.18E-19
263.22	3.23E-19
263.23	3.33E-19
263.24	3.32E-19
263.25	3.23E-19
263.26	3.24E-19
263.26	3.25E-19
263.27	3.22E-19
263.28	3.21E-19
