#Wavelength (nm)	Absorption cross-section (cm2/molecule)
269.87	4.72E-19
269.88	4.78E-19
269.89	4.78E-19
269.90	4.81E-19
269.91	4.81E-19
269.91	4.84E-19
269.92	4.85E-19
269.93	4.95E-19
269.94	5.08E-19
269.95	4.97E-19
269.95	4.87E-19
269.96	5.00E-19
269.97	5.17E-19
269.98	5.41E-19
269.99	5.22E-19
270.00	5.17E-19
270.00	5.12E-19
270.01	5.05E-19
270.02	5.15E-19
270.03	5.13E-19
270.04	5.23E-19
270.05	5.34E-19
270.05	5.36E-19
270.06	5.26E-19
270.07	5.39E-19
270.08	5.36E-19
270.09	5.43E-19
270.09	5.64E-19
270.10	5.55E-19
270.11	5.77E-19
270.12	5.77E-19
270.13	5.66E-19
270.14	5.77E-19
270.14	5.73E-19
270.15	5.73E-19
270.16	5.76E-19
270.17	5.71E-19
270.18	5.62E-19
270.18	5.71E-19
270.19	5.62E-19
270.20	5.44E-19
270.21	5.43E-19
270.22	5.56E-19
270.23	5.55E-19
270.23	5.53E-19
270.24	5.55E-19
270.25	5.43E-19
270.26	5.28E-19
270.27	5.30E-19
270.28	5.32E-19
270.28	5.18E-19
270.29	5.26E-19
270.30	5.32E-19
270.31	5.22E-19
270.32	5.16E-19
270.32	5.13E-19
270.33	5.02E-19
270.34	5.11E-19
270.35	5.18E-19
270.36	5.11E-19
270.37	5.08E-19
270.37	4.94E-19
270.38	4.99E-19
270.39	4.90E-19
270.40	4.91E-19
270.41	4.89E-19
270.41	4.81E-19
270.42	4.94E-19
270.43	4.86E-19
270.44	4.84E-19
270.45	4.81E-19
270.46	4.85E-19
270.46	4.85E-19
270.47	4.71E-19
270.48	4.74E-19
270.49	4.80E-19
270.50	4.82E-19
270.50	4.87E-19
270.51	4.95E-19
270.52	4.98E-19
270.53	5.07E-19
270.54	5.10E-19
270.55	5.09E-19
270.55	5.13E-19
270.56	5.12E-19
270.57	5.08E-19
270.58	5.02E-19
270.59	5.07E-19
270.60	5.29E-19
270.60	5.33E-19
270.61	5.29E-19
270.62	5.40E-19
270.63	5.42E-19
270.64	5.30E-19
270.64	5.27E-19
270.65	5.15E-19
270.66	5.13E-19
270.67	5.15E-19
270.68	4.96E-19
270.69	5.09E-19
270.69	5.01E-19
270.70	5.00E-19
270.71	5.04E-19
270.72	5.02E-19
270.73	5.04E-19
270.73	5.03E-19
270.74	4.87E-19
270.75	4.90E-19
270.76	4.89E-19
270.77	4.83E-19
270.78	4.76E-19
270.78	4.72E-19
270.79	4.69E-19
270.80	4.69E-19
270.81	4.70E-19
270.82	4.72E-19
270.83	4.71E-19
270.83	4.59E-19
270.84	4.62E-19
270.85	4.57E-19
270.86	4.52E-19
270.87	4.49E-19
270.87	4.49E-19
270.88	4.55E-19
270.89	4.55E-19
270.90	4.69E-19
270.91	4.57E-19
270.92	4.59E-19
270.92	4.61E-19
270.93	4.61E-19
270.94	4.57E-19
270.95	4.63E-19
270.96	4.73E-19
270.96	4.77E-19
270.97	4.72E-19
270.98	4.79E-19
270.99	4.79E-19
271.00	4.91E-19
271.01	5.14E-19
271.01	5.13E-19
271.02	5.20E-19
271.03	5.31E-19
271.04	5.24E-19
271.05	5.31E-19
271.05	5.34E-19
271.06	5.36E-19
271.07	5.33E-19
271.08	5.32E-19
271.09	5.34E-19
271.10	5.41E-19
271.10	5.39E-19
271.11	5.48E-19
271.12	5.53E-19
271.13	5.47E-19
271.14	5.53E-19
271.15	5.67E-19
271.15	5.69E-19
271.16	5.64E-19
271.17	5.54E-19
271.18	5.57E-19
271.19	5.65E-19
271.19	5.47E-19
271.20	5.64E-19
271.21	5.71E-19
271.22	5.62E-19
271.23	5.66E-19
271.24	5.67E-19
271.24	5.75E-19
271.25	5.58E-19
271.26	5.61E-19
271.27	5.61E-19
271.28	5.52E-19
271.28	5.53E-19
271.29	5.55E-19
271.30	5.48E-19
271.31	5.40E-19
271.32	5.49E-19
271.33	5.42E-19
271.33	5.43E-19
271.34	5.52E-19
271.35	5.43E-19
271.36	5.34E-19
271.37	5.37E-19
271.38	5.26E-19
271.38	5.34E-19
271.39	5.25E-19
271.40	5.44E-19
271.41	5.59E-19
271.42	5.71E-19
271.42	5.67E-19
271.43	5.62E-19
271.44	5.69E-19
271.45	5.72E-19
271.46	5.73E-19
271.47	5.60E-19
271.47	5.62E-19
271.48	5.67E-19
271.49	5.74E-19
271.50	5.65E-19
271.51	5.68E-19
271.51	5.74E-19
271.52	5.67E-19
271.53	5.65E-19
271.54	5.71E-19
271.55	5.82E-19
271.56	5.85E-19
271.56	5.68E-19
271.57	5.72E-19
271.58	5.73E-19
271.59	5.78E-19
271.60	5.84E-19
271.60	5.87E-19
271.61	5.84E-19
271.62	5.96E-19
271.63	5.91E-19
271.64	5.88E-19
271.65	5.84E-19
271.65	5.75E-19
271.66	5.61E-19
271.67	5.62E-19
271.68	5.71E-19
271.69	5.64E-19
271.70	5.73E-19
271.70	5.87E-19
271.71	5.86E-19
271.72	5.87E-19
271.73	5.96E-19
271.74	6.03E-19
271.74	6.09E-19
271.75	6.00E-19
271.76	5.98E-19
271.77	6.10E-19
271.78	6.06E-19
271.79	5.98E-19
271.79	5.82E-19
271.80	6.04E-19
271.81	6.17E-19
271.82	6.13E-19
271.83	6.03E-19
271.83	6.11E-19
271.84	6.08E-19
271.85	5.97E-19
271.86	6.10E-19
271.87	6.14E-19
271.88	6.09E-19
271.88	5.93E-19
271.89	6.00E-19
271.90	6.07E-19
271.91	6.13E-19
271.92	5.92E-19
271.93	6.01E-19
271.93	5.97E-19
271.94	6.16E-19
271.95	6.08E-19
271.96	5.97E-19
271.97	5.99E-19
271.97	6.01E-19
271.98	5.99E-19
271.99	5.74E-19
272.00	5.88E-19
272.01	5.90E-19
272.02	5.84E-19
272.02	5.78E-19
272.03	5.89E-19
272.04	6.14E-19
272.05	6.09E-19
272.06	6.03E-19
272.06	6.06E-19
272.07	6.10E-19
272.08	6.04E-19
272.09	6.04E-19
272.10	5.98E-19
272.11	5.81E-19
272.11	5.91E-19
272.12	5.84E-19
272.13	5.71E-19
272.14	5.70E-19
272.15	5.77E-19
272.15	5.64E-19
272.16	5.61E-19
272.17	5.80E-19
272.18	5.88E-19
272.19	5.86E-19
272.20	5.87E-19
272.20	6.05E-19
272.21	6.16E-19
272.22	6.29E-19
272.23	6.54E-19
272.24	6.47E-19
272.25	6.36E-19
272.25	6.32E-19
272.26	6.16E-19
272.27	6.10E-19
272.28	6.28E-19
272.29	6.34E-19
272.29	6.29E-19
272.30	6.25E-19
272.31	6.27E-19
272.32	6.42E-19
272.33	6.18E-19
272.34	6.06E-19
272.34	6.12E-19
272.35	6.01E-19
272.36	6.24E-19
272.37	6.12E-19
272.38	6.06E-19
272.38	6.08E-19
272.39	6.03E-19
272.40	5.94E-19
272.41	5.90E-19
272.42	5.95E-19
272.43	5.98E-19
272.43	5.97E-19
272.44	5.74E-19
272.45	5.80E-19
272.46	5.96E-19
272.47	5.90E-19
272.48	5.89E-19
272.48	5.85E-19
272.49	5.97E-19
272.50	5.94E-19
272.51	5.77E-19
272.52	5.78E-19
272.52	5.70E-19
272.53	5.83E-19
272.54	5.74E-19
272.55	5.70E-19
272.56	5.79E-19
272.57	6.14E-19
272.57	6.22E-19
272.58	6.14E-19
272.59	5.96E-19
272.60	5.83E-19
272.61	5.81E-19
272.61	5.87E-19
272.62	5.95E-19
272.63	5.95E-19
272.64	6.01E-19
272.65	6.08E-19
272.66	6.23E-19
272.66	6.49E-19
272.67	6.50E-19
272.68	6.52E-19
272.69	6.49E-19
272.70	6.32E-19
272.70	6.37E-19
272.71	6.39E-19
272.72	6.27E-19
272.73	6.48E-19
272.74	6.45E-19
272.75	6.12E-19
272.75	6.27E-19
272.76	6.21E-19
272.77	6.22E-19
272.78	6.08E-19
272.79	6.00E-19
272.80	6.15E-19
272.80	6.09E-19
272.81	6.05E-19
272.82	5.98E-19
272.83	6.19E-19
272.84	6.17E-19
272.84	6.06E-19
272.85	6.10E-19
272.86	6.14E-19
272.87	6.15E-19
272.88	6.11E-19
272.89	6.01E-19
272.89	5.93E-19
272.90	5.96E-19
272.91	6.04E-19
272.92	6.05E-19
272.93	6.01E-19
272.93	5.90E-19
272.94	6.07E-19
272.95	5.98E-19
272.96	5.88E-19
272.97	6.02E-19
272.98	5.96E-19
272.98	6.01E-19
272.99	6.06E-19
273.00	6.08E-19
273.01	6.02E-19
273.02	6.04E-19
273.03	6.01E-19
273.03	6.09E-19
273.04	6.05E-19
273.05	5.94E-19
273.06	5.75E-19
273.07	5.73E-19
273.07	5.69E-19
273.08	5.64E-19
273.09	5.68E-19
273.10	5.77E-19
273.11	5.89E-19
273.12	6.04E-19
273.12	5.87E-19
273.13	5.85E-19
273.14	5.90E-19
273.15	5.91E-19
273.16	5.96E-19
273.16	5.74E-19
273.17	5.74E-19
273.18	6.10E-19
273.19	6.10E-19
273.20	6.19E-19
273.21	6.23E-19
273.21	6.12E-19
273.22	6.06E-19
273.23	6.03E-19
273.24	6.10E-19
273.25	6.09E-19
273.25	6.19E-19
273.26	6.10E-19
273.27	6.23E-19
273.28	6.37E-19
273.29	6.48E-19
273.30	6.59E-19
273.30	6.68E-19
273.31	6.95E-19
273.32	7.11E-19
273.33	7.00E-19
273.34	7.16E-19
273.35	7.32E-19
273.35	7.23E-19
273.36	7.10E-19
273.37	7.17E-19
273.38	7.21E-19
273.39	7.38E-19
273.39	7.34E-19
273.40	7.36E-19
273.41	7.73E-19
273.42	7.61E-19
273.43	7.47E-19
273.44	7.50E-19
273.44	7.36E-19
273.45	7.54E-19
273.46	7.61E-19
273.47	7.80E-19
273.48	7.84E-19
273.48	7.69E-19
273.49	7.66E-19
273.50	7.57E-19
273.51	7.43E-19
273.52	7.36E-19
273.53	7.25E-19
273.53	7.22E-19
273.54	7.16E-19
273.55	7.06E-19
273.56	7.25E-19
273.57	7.21E-19
273.58	7.19E-19
273.58	7.00E-19
273.59	7.04E-19
273.60	7.14E-19
273.61	7.05E-19
273.62	7.13E-19
273.62	6.96E-19
273.63	6.90E-19
273.64	6.84E-19
273.65	6.80E-19
273.66	6.89E-19
273.67	6.82E-19
273.67	6.84E-19
273.68	6.78E-19
273.69	6.78E-19
273.70	6.76E-19
273.71	6.68E-19
273.71	6.70E-19
273.72	6.83E-19
273.73	6.85E-19
273.74	6.90E-19
273.75	6.89E-19
273.76	6.89E-19
273.76	6.77E-19
273.77	6.83E-19
273.78	6.82E-19
273.79	6.76E-19
273.80	6.76E-19
273.80	6.77E-19
273.81	6.80E-19
273.82	6.83E-19
273.83	6.72E-19
273.84	6.85E-19
273.85	6.66E-19
273.85	6.71E-19
273.86	6.61E-19
273.87	6.52E-19
273.88	6.48E-19
273.89	6.43E-19
273.90	6.36E-19
273.90	6.33E-19
273.91	6.43E-19
273.92	6.26E-19
273.93	6.31E-19
273.94	6.17E-19
273.94	6.21E-19
273.95	6.18E-19
273.96	6.13E-19
273.97	6.04E-19
273.98	5.92E-19
273.99	5.78E-19
273.99	5.76E-19
274.00	5.81E-19
274.01	5.80E-19
274.02	5.72E-19
274.03	5.82E-19
274.03	5.60E-19
274.04	5.50E-19
274.05	5.36E-19
274.06	5.33E-19
274.07	5.43E-19
274.08	5.37E-19
274.08	5.23E-19
274.09	5.21E-19
274.10	5.24E-19
274.11	5.24E-19
274.12	5.18E-19
274.13	5.17E-19
274.13	5.10E-19
274.14	5.15E-19
274.15	5.20E-19
274.16	5.07E-19
274.17	5.13E-19
274.17	5.21E-19
274.18	5.13E-19
274.19	5.19E-19
274.20	5.01E-19
274.21	5.00E-19
274.22	4.99E-19
274.22	4.86E-19
274.23	5.00E-19
274.24	5.05E-19
274.25	5.10E-19
274.26	5.10E-19
274.26	5.13E-19
274.27	5.08E-19
274.28	5.22E-19
274.29	5.20E-19
274.30	5.15E-19
274.31	5.14E-19
274.31	5.17E-19
274.32	5.06E-19
274.33	5.19E-19
274.34	5.19E-19
274.35	5.32E-19
274.35	5.42E-19
274.36	5.53E-19
274.37	5.58E-19
274.38	5.59E-19
274.39	5.62E-19
274.40	5.70E-19
274.40	5.71E-19
274.41	5.69E-19
274.42	5.75E-19
274.43	5.59E-19
274.44	5.74E-19
274.45	5.89E-19
274.45	5.69E-19
274.46	5.88E-19
274.47	5.87E-19
274.48	5.77E-19
274.49	5.94E-19
274.49	5.95E-19
274.50	6.03E-19
274.51	6.12E-19
274.52	6.03E-19
274.53	6.28E-19
274.54	6.36E-19
274.54	6.14E-19
274.55	6.16E-19
274.56	6.28E-19
274.57	6.57E-19
274.58	6.68E-19
274.58	6.65E-19
274.59	6.69E-19
274.60	6.80E-19
274.61	6.65E-19
274.62	6.74E-19
274.63	6.88E-19
274.63	6.69E-19
274.64	6.66E-19
274.65	6.63E-19
274.66	6.52E-19
274.67	6.60E-19
274.68	6.61E-19
274.68	6.67E-19
274.69	6.72E-19
274.70	6.75E-19
274.71	6.73E-19
274.72	6.86E-19
274.72	6.89E-19
274.73	6.87E-19
274.74	6.93E-19
274.75	6.93E-19
274.76	6.94E-19
274.77	6.81E-19
274.77	7.05E-19
274.78	7.12E-19
274.79	6.76E-19
274.80	6.53E-19
274.81	6.70E-19
274.81	6.70E-19
274.82	6.81E-19
274.83	6.81E-19
274.84	6.86E-19
274.85	7.13E-19
274.86	6.55E-19
274.86	6.71E-19
274.87	6.81E-19
274.88	6.88E-19
274.89	6.57E-19
274.90	6.58E-19
274.90	6.53E-19
274.91	6.63E-19
274.92	6.77E-19
274.93	6.40E-19
274.94	6.71E-19
274.95	6.71E-19
274.95	6.63E-19
274.96	6.58E-19
274.97	6.60E-19
274.98	6.72E-19
274.99	6.67E-19
275.00	6.49E-19
275.00	6.59E-19
275.01	6.47E-19
275.02	6.58E-19
275.03	6.64E-19
275.04	6.45E-19
275.04	6.30E-19
275.05	6.64E-19
275.06	6.47E-19
275.07	6.55E-19
275.08	6.75E-19
275.09	6.67E-19
275.09	6.74E-19
275.10	7.08E-19
275.11	7.16E-19
275.12	7.29E-19
275.13	7.27E-19
275.13	7.01E-19
275.14	6.92E-19
275.15	6.72E-19
275.16	6.83E-19
275.17	6.77E-19
275.18	7.04E-19
275.18	6.82E-19
275.19	6.71E-19
275.20	6.82E-19
275.21	6.85E-19
275.22	6.62E-19
275.23	6.60E-19
275.23	6.52E-19
275.24	6.45E-19
275.25	6.55E-19
275.26	6.47E-19
275.27	6.59E-19
275.27	6.71E-19
275.28	6.64E-19
275.29	6.68E-19
275.30	6.84E-19
275.31	6.80E-19
275.32	6.74E-19
275.32	6.74E-19
275.33	6.61E-19
275.34	6.58E-19
275.35	6.55E-19
275.36	6.56E-19
275.36	6.52E-19
275.37	6.50E-19
275.38	6.47E-19
275.39	6.41E-19
275.40	6.65E-19
275.41	6.87E-19
275.41	6.89E-19
275.42	6.82E-19
275.43	6.94E-19
275.44	6.89E-19
275.45	6.89E-19
275.46	6.57E-19
275.46	6.72E-19
275.47	6.88E-19
275.48	6.80E-19
275.49	6.66E-19
275.50	6.77E-19
275.50	6.71E-19
275.51	6.53E-19
275.52	6.64E-19
275.53	6.46E-19
275.54	6.45E-19
275.55	6.41E-19
275.55	6.41E-19
275.56	6.40E-19
275.57	6.23E-19
275.58	6.23E-19
275.59	6.10E-19
275.59	5.89E-19
275.60	5.92E-19
275.61	5.85E-19
275.62	5.99E-19
275.63	6.11E-19
275.64	6.06E-19
275.64	6.07E-19
275.65	6.06E-19
275.66	6.11E-19
275.67	6.11E-19
275.68	6.30E-19
275.68	6.36E-19
275.69	6.15E-19
275.70	6.14E-19
275.71	6.10E-19
275.72	6.14E-19
275.73	6.30E-19
275.73	6.44E-19
275.74	6.42E-19
275.75	6.41E-19
275.76	6.55E-19
275.77	6.34E-19
275.78	6.47E-19
275.78	6.56E-19
275.79	6.43E-19
275.80	6.56E-19
275.81	6.61E-19
275.82	6.59E-19
275.82	6.60E-19
275.83	6.63E-19
275.84	6.40E-19
275.85	6.36E-19
275.86	6.46E-19
275.87	6.31E-19
275.87	6.23E-19
275.88	6.32E-19
275.89	6.18E-19
275.90	6.13E-19
275.91	6.06E-19
275.91	5.92E-19
275.92	6.20E-19
275.93	6.20E-19
275.94	5.97E-19
275.95	5.85E-19
275.96	5.87E-19
275.96	5.82E-19
275.97	5.73E-19
275.98	5.87E-19
275.99	5.97E-19
276.00	5.86E-19
276.01	5.87E-19
276.01	5.99E-19
276.02	5.99E-19
276.03	5.88E-19
276.04	5.87E-19
276.05	5.81E-19
276.05	5.79E-19
276.06	5.75E-19
276.07	5.80E-19
276.08	5.95E-19
276.09	5.92E-19
276.10	5.80E-19
276.10	5.74E-19
276.11	5.84E-19
276.12	5.92E-19
276.13	5.97E-19
276.14	6.01E-19
276.14	5.80E-19
276.15	5.81E-19
276.16	5.85E-19
276.17	5.91E-19
276.18	5.97E-19
276.19	5.96E-19
276.19	6.16E-19
276.20	6.02E-19
276.21	5.98E-19
276.22	5.95E-19
276.23	6.08E-19
276.23	6.15E-19
276.24	6.10E-19
276.25	6.19E-19
276.26	6.19E-19
276.27	6.23E-19
276.28	6.25E-19
276.28	6.37E-19
276.29	6.44E-19
276.30	6.53E-19
276.31	6.55E-19
276.32	6.56E-19
276.33	6.80E-19
276.33	6.91E-19
276.34	6.98E-19
276.35	6.96E-19
276.36	7.04E-19
276.37	7.26E-19
276.37	7.24E-19
276.38	7.55E-19
276.39	7.57E-19
276.40	7.48E-19
276.41	7.63E-19
276.42	7.57E-19
276.42	7.67E-19
276.43	7.69E-19
276.44	7.59E-19
276.45	7.38E-19
276.46	7.26E-19
276.46	7.13E-19
276.47	7.29E-19
276.48	7.45E-19
276.49	7.43E-19
276.50	7.64E-19
276.51	7.65E-19
276.51	7.77E-19
276.52	7.67E-19
276.53	7.72E-19
276.54	7.79E-19
276.55	7.58E-19
276.56	7.73E-19
276.56	7.27E-19
276.57	7.26E-19
276.58	7.27E-19
276.59	7.11E-19
276.60	7.22E-19
276.60	6.93E-19
276.61	7.11E-19
276.62	7.27E-19
276.63	7.06E-19
276.64	7.01E-19
276.65	7.10E-19
276.65	7.30E-19
276.66	7.17E-19
276.67	7.20E-19
276.68	7.42E-19
276.69	7.29E-19
276.69	7.27E-19
276.70	7.04E-19
276.71	7.11E-19
276.72	7.14E-19
276.73	6.82E-19
276.74	6.88E-19
276.74	6.99E-19
276.75	7.01E-19
276.76	6.87E-19
276.77	6.95E-19
276.78	6.80E-19
276.78	6.66E-19
276.79	6.77E-19
276.80	6.74E-19
276.81	6.74E-19
276.82	6.81E-19
276.83	6.65E-19
276.83	6.55E-19
276.84	6.62E-19
276.85	6.46E-19
276.86	6.52E-19
276.87	6.62E-19
276.88	6.51E-19
276.88	6.51E-19
276.89	6.54E-19
276.90	6.53E-19
276.91	6.54E-19
276.92	6.47E-19
276.92	6.41E-19
276.93	6.33E-19
276.94	6.29E-19
276.95	6.39E-19
276.96	6.29E-19
276.97	6.18E-19
276.97	6.24E-19
276.98	6.35E-19
276.99	6.56E-19
277.00	6.53E-19
277.01	6.73E-19
277.01	6.76E-19
277.02	6.60E-19
277.03	6.69E-19
277.04	6.73E-19
277.05	6.88E-19
277.06	7.09E-19
277.06	7.08E-19
277.07	7.04E-19
277.08	7.34E-19
277.09	7.51E-19
277.10	7.32E-19
277.11	7.23E-19
277.11	7.36E-19
277.12	7.44E-19
277.13	7.60E-19
277.14	7.74E-19
277.15	8.03E-19
277.15	7.92E-19
277.16	7.75E-19
277.17	7.95E-19
277.18	7.79E-19
277.19	7.72E-19
277.20	7.63E-19
277.20	7.82E-19
277.21	7.75E-19
277.22	7.59E-19
277.23	7.57E-19
277.24	7.43E-19
277.24	7.50E-19
277.25	7.34E-19
277.26	7.48E-19
277.27	7.57E-19
277.28	7.45E-19
277.29	7.19E-19
277.29	7.16E-19
277.30	6.98E-19
277.31	6.81E-19
277.32	6.83E-19
277.33	6.59E-19
277.33	6.62E-19
277.34	6.58E-19
277.35	6.71E-19
277.36	6.84E-19
277.37	6.82E-19
277.38	6.96E-19
277.38	7.01E-19
277.39	6.80E-19
277.40	6.59E-19
277.41	6.53E-19
277.42	6.56E-19
277.43	6.60E-19
277.43	6.48E-19
277.44	6.49E-19
277.45	6.56E-19
277.46	6.32E-19
277.47	6.35E-19
277.47	6.42E-19
277.48	6.38E-19
277.49	6.43E-19
277.50	6.51E-19
277.51	6.44E-19
277.52	6.35E-19
277.52	6.29E-19
277.53	6.31E-19
277.54	6.29E-19
277.55	6.22E-19
277.56	6.36E-19
277.56	6.33E-19
277.57	6.34E-19
277.58	6.23E-19
277.59	6.18E-19
277.60	6.24E-19
277.61	6.27E-19
277.61	6.27E-19
277.62	6.36E-19
277.63	6.49E-19
277.64	6.56E-19
277.65	6.58E-19
277.66	6.62E-19
277.66	6.52E-19
277.67	6.45E-19
277.68	6.51E-19
277.69	6.50E-19
277.70	6.72E-19
277.70	7.04E-19
277.71	7.17E-19
277.72	7.54E-19
277.73	8.07E-19
277.74	8.25E-19
277.75	8.10E-19
277.75	7.85E-19
277.76	7.78E-19
277.77	7.56E-19
277.78	7.53E-19
277.79	7.51E-19
277.79	7.42E-19
277.80	7.37E-19
277.81	7.58E-19
277.82	7.85E-19
277.83	7.83E-19
277.84	7.73E-19
277.84	7.78E-19
277.85	7.58E-19
277.86	7.64E-19
277.87	7.81E-19
277.88	7.91E-19
277.88	8.31E-19
277.89	8.35E-19
277.90	8.64E-19
277.91	8.67E-19
277.92	8.35E-19
277.93	8.19E-19
277.93	8.22E-19
277.94	8.03E-19
277.95	8.18E-19
277.96	7.97E-19
277.97	7.76E-19
277.98	7.93E-19
277.98	8.15E-19
277.99	8.08E-19
278.00	7.93E-19
278.01	8.41E-19
278.02	8.43E-19
278.02	8.55E-19
278.03	8.25E-19
278.04	8.31E-19
278.05	8.37E-19
278.06	8.15E-19
278.07	8.12E-19
278.07	8.15E-19
278.08	8.15E-19
278.09	7.98E-19
278.10	8.04E-19
278.11	8.15E-19
278.11	8.20E-19
278.12	8.14E-19
278.13	8.11E-19
278.14	8.12E-19
278.15	8.09E-19
278.16	8.17E-19
278.16	8.10E-19
278.17	7.87E-19
278.18	8.05E-19
278.19	7.82E-19
278.20	7.51E-19
278.21	7.58E-19
278.21	7.65E-19
278.22	7.57E-19
278.23	7.53E-19
278.24	7.55E-19
278.25	7.42E-19
278.25	7.43E-19
278.26	7.39E-19
278.27	7.38E-19
278.28	7.37E-19
278.29	7.16E-19
278.30	7.28E-19
278.30	7.30E-19
278.31	7.03E-19
278.32	7.01E-19
278.33	6.90E-19
278.34	6.65E-19
278.34	6.86E-19
278.35	6.87E-19
278.36	6.59E-19
278.37	6.67E-19
278.38	6.77E-19
278.39	6.76E-19
278.39	6.75E-19
278.40	6.77E-19
278.41	6.63E-19
278.42	6.58E-19
278.43	6.56E-19
278.43	6.46E-19
278.44	6.38E-19
278.45	6.32E-19
278.46	6.41E-19
278.47	6.37E-19
278.48	6.27E-19
278.48	6.32E-19
278.49	6.39E-19
278.50	6.35E-19
278.51	6.23E-19
278.52	6.23E-19
278.53	6.26E-19
278.53	6.11E-19
278.54	5.98E-19
278.55	5.87E-19
278.56	5.94E-19
278.57	5.91E-19
278.57	5.86E-19
278.58	5.92E-19
278.59	5.84E-19
278.60	5.80E-19
278.61	5.78E-19
278.62	5.71E-19
278.62	5.73E-19
278.63	5.78E-19
278.64	5.80E-19
278.65	5.69E-19
278.66	5.64E-19
278.66	5.64E-19
278.67	5.70E-19
278.68	5.93E-19
278.69	5.87E-19
278.70	5.92E-19
278.71	6.09E-19
278.71	6.21E-19
278.72	6.26E-19
278.73	6.20E-19
278.74	6.30E-19
278.75	6.45E-19
278.76	6.64E-19
278.76	6.99E-19
278.77	7.30E-19
278.78	7.58E-19
278.79	7.30E-19
278.80	7.32E-19
278.80	7.37E-19
278.81	7.15E-19
278.82	7.09E-19
278.83	7.19E-19
278.84	7.42E-19
278.85	7.81E-19
278.85	8.35E-19
278.86	8.08E-19
278.87	8.07E-19
278.88	8.04E-19
278.89	8.21E-19
278.89	8.37E-19
278.90	8.42E-19
278.91	8.60E-19
278.92	8.66E-19
278.93	8.74E-19
278.94	8.69E-19
278.94	8.98E-19
278.95	9.04E-19
278.96	8.83E-19
278.97	8.87E-19
278.98	9.06E-19
278.98	8.98E-19
278.99	8.85E-19
279.00	8.91E-19
279.01	8.78E-19
279.02	8.79E-19
279.03	9.10E-19
279.03	8.90E-19
279.04	8.98E-19
279.05	9.15E-19
279.06	8.87E-19
279.07	8.39E-19
279.08	8.36E-19
279.08	8.30E-19
279.09	8.27E-19
279.10	8.27E-19
279.11	8.18E-19
279.12	8.20E-19
279.12	8.07E-19
279.13	8.03E-19
279.14	7.70E-19
279.15	7.87E-19
279.16	7.81E-19
279.17	7.64E-19
279.17	7.42E-19
279.18	7.63E-19
279.19	7.47E-19
279.20	7.22E-19
279.21	7.39E-19
279.21	7.19E-19
279.22	7.38E-19
279.23	6.98E-19
279.24	6.94E-19
279.25	7.07E-19
279.26	7.04E-19
279.26	6.84E-19
279.27	6.80E-19
279.28	6.72E-19
279.29	6.62E-19
279.30	6.56E-19
279.31	6.49E-19
279.31	6.60E-19
279.32	6.60E-19
279.33	6.61E-19
279.34	6.52E-19
279.35	6.52E-19
279.35	6.34E-19
279.36	6.25E-19
279.37	6.17E-19
279.38	6.11E-19
279.39	6.05E-19
279.40	6.10E-19
279.40	6.06E-19
279.41	6.00E-19
279.42	6.03E-19
279.43	6.04E-19
279.44	5.85E-19
279.44	5.70E-19
279.45	5.77E-19
279.46	5.71E-19
279.47	5.75E-19
279.48	5.83E-19
279.49	5.80E-19
279.49	5.76E-19
279.50	5.82E-19
279.51	5.72E-19
279.52	5.82E-19
279.53	5.88E-19
279.53	5.96E-19
279.54	6.07E-19
279.55	6.25E-19
279.56	6.47E-19
279.57	6.87E-19
279.58	7.04E-19
279.58	6.89E-19
279.59	7.15E-19
279.60	7.23E-19
279.61	7.54E-19
279.62	7.56E-19
279.63	7.52E-19
279.63	7.50E-19
279.64	7.48E-19
279.65	7.77E-19
279.66	8.12E-19
279.67	8.77E-19
279.67	8.76E-19
279.68	8.76E-19
279.69	9.14E-19
279.70	9.52E-19
279.71	9.74E-19
279.72	9.92E-19
279.72	9.87E-19
279.73	9.83E-19
279.74	1.03E-18
279.75	1.01E-18
279.76	9.67E-19
279.76	9.67E-19
279.77	9.85E-19
279.78	9.79E-19
279.79	9.57E-19
279.80	9.73E-19
279.81	9.52E-19
279.81	9.30E-19
279.82	9.65E-19
279.83	9.83E-19
279.84	9.41E-19
279.85	9.64E-19
279.86	9.61E-19
279.86	9.15E-19
279.87	9.35E-19
279.88	9.46E-19
279.89	9.49E-19
279.90	9.23E-19
279.90	9.15E-19
279.91	9.03E-19
279.92	8.91E-19
279.93	8.95E-19
279.94	9.05E-19
279.95	9.28E-19
279.95	8.89E-19
279.96	8.99E-19
279.97	9.01E-19
279.98	8.63E-19
279.99	8.65E-19
279.99	8.54E-19
280.00	8.38E-19
280.01	8.48E-19
280.02	8.54E-19
280.03	8.41E-19
280.04	8.43E-19
280.04	8.49E-19
280.05	8.37E-19
280.06	8.25E-19
280.07	8.02E-19
280.08	7.98E-19
280.08	7.98E-19
280.09	7.85E-19
280.10	7.87E-19
280.11	8.11E-19
280.12	8.04E-19
280.13	8.04E-19
280.13	8.42E-19
280.14	8.31E-19
280.15	8.45E-19
280.16	8.68E-19
280.17	8.53E-19
280.18	8.73E-19
280.18	8.67E-19
280.19	8.51E-19
280.20	8.40E-19
280.21	8.23E-19
280.22	8.37E-19
280.22	7.95E-19
280.23	7.82E-19
280.24	8.00E-19
280.25	7.92E-19
280.26	7.81E-19
280.27	7.70E-19
280.27	7.82E-19
280.28	7.81E-19
280.29	7.77E-19
